# Street,Address,subAddress,Division /Block
Cedar St,2639,,A1
Cedar St,2647,,A1
Cedar St,2649,,A1
Cedar St,2661,,A1
La Loma Ave,1530,,A1
La Loma Ave,1546,,A1
Le Roy Ave,1597,,A1
Cedar St,2644,,A2
Cedar St,2696,,A2
La Loma Ave,1600,,A2
La Loma Ave,1628,,A2
La Loma Ave,1634,,A2
La Loma Ave,1636,,A2
La Loma Ave,1640,,A2
La Loma Ave,1644,,A2
Le Roy Ave,1619,,A2
Le Roy Ave,1621,,A2
Le Roy Ave,1643,,A2
Buena Vista Way,2750,,A3
Buena Vista Way,2750,,A3
La Loma Ave,1525,,A3
La Vereda Rd,1551,,A3
La Vereda Rd,1553,,A3
La Vereda Rd,1570,,A3
La Vereda Rd,1575,,A3
La Vereda Rd,1585,,A3
La Vereda Rd,1589,,A3
La Vereda Rd,1590,,A3
La Vereda Rd,1591,,A3
La Vereda Rd,1595,,A3
Hilgard Ave,2709,,B1
Hilgard Ave,2772,(lower apt),B1
Hilgard Ave,2776,,B1
Hilgard Ave,2777,,B1
Hilgard Ave,2805,,B1
La Vereda Rd,1601,,B1
La Vereda Rd,1603,,B1
La Vereda Rd,1606,,B1
La Vereda Rd,1609,,B1
La Vereda Rd,1615,,B1
La Vereda Rd,1616,,B1
La Vereda Rd,1629,,B1
La Vereda Rd,1631,Unit 1,B2
La Vereda Rd,1631,Unit 4,B2
La Vereda Rd,1633,,B2
La Vereda Rd,1639,,B2
La Vereda Rd,1680,,B2
Virginia St,2702,,B2
Virginia St,2706,,B2
Virginia St,2708,,B2
Virginia St,2711,Unit A,B2
Virginia St,2711,Unit B,B2
Virginia St,2711,Unit C,B2
Virginia St,2711,Unit D,B2
La Vereda Rd,1700,,B3
La Vereda Rd,1701,,B3
La Vereda Rd,1724,,B3
La Vereda Rd,1730,,B3
La Vereda Rd,1731,,B3
La Vereda Rd,1732,,B3
La Vereda Rd,1735,,B3
Hilgard Ave,2650,,C1
Hilgard Ave,2670,,C1
Hilgard Ave,2672,,C1
Hilgard Ave,2680,,C1
Hilgard Ave,2682,,C1
Hilgard Ave,2692,,C1
Hilgard Ave,2694,,C1
La Loma Ave,1641,,C1
La Loma Ave,1645,,C1
La Loma Ave,1647,,C1
La Loma Ave,1670,,C1
La Loma Ave,1675,,C1
Hilgard Ave,2339,Unit 202,C2
La Loma Ave,1680,,C2
La Loma Ave,1683,,C2
La Loma Ave,1688,,C2
Virginia St,2634,Unit 25,C2
Virginia St,2634,Unit 32,C2
Virginia St,2655,Unit A,C2
Virginia St,2655,Unit C,C2
Virginia St,2656,,C2
Virginia St,2666,,C2
Virginia St,2701,,C2
La Loma Ave,1700,,C3
La Loma Ave,1705,,C3
La Loma Ave,1709,,C3
La Loma Ave,1715,,C3
Le Conte Ave,2611,,C3
Le Conte Ave,2617,,C3
Le Conte Ave,2634,,C3
Le Conte Ave,2663,,C3
Le Conte Ave,2669,,C3
Le Conte Ave,2695,,C3
Ridge Rd,2615,Unit B,
